salesman_id,name,city,commision
1,Johnathan,Barili,95.38
2,Gladys,Horodnya,25.38
3,Carina,Los Ángeles,31.13
4,Cass,Kogota,58.49
5,Toinette,Khadzhalmakhi,10.7
6,Maude,Shihuiyao,96.13
7,Wynnie,Pančevo,20.98
8,Giordano,Anabar,12.74
9,Emylee,Boavista,94.97
10,Aryn,Mengxingzhuang,7.91
11,Silvanus,Vinha,7.86
12,Floyd,Ambato Boeny,25.31
13,Barbabas,Gludug,67.73
14,Valina,Jinjia,54.75
15,Malia,Jdaidet el Matn,78.76
16,Shay,Ban Khlong Bang Sao Thong,76.38
17,Clarissa,Al Fashn,68.21
18,Dorothee,Azacualpa,9.75
19,Orran,Chikushino-shi,15.68
20,Emelen,Andapa,51.27
21,Gaylor,Göteborg,87.12
22,Elka,Glazov,21.65
23,Charles,Braço do Norte,29.34
24,Artus,Santo Domingo,41.8
25,Nevile,Dushanbe,95.05
26,Daile,Quintãs,8.52
27,Reuven,Baabda,14.59
28,Lezlie,Nangka,38.77
29,Aleece,Muskegon,3.35
30,Isador,Pancoran,70.56
31,Conny,Yanjiang,30.27
32,Hobey,Tolú,32.75
33,Iain,Shuangjing,37.78
34,Rachelle,Sunjia Buzi,68.47
35,Renell,Darya Boyi,33.4
36,Ingeborg,Tata,16.62
37,Xenia,Ransang,9.12
38,Yul,Gesikan,31.48
39,Ichabod,Banjar Medura,35.37
40,Vick,Walagar,32.27
41,Stillman,Vila Nova de Santo André,20.43
42,Hewet,Linamon,40.89
43,Chrysa,Rokietnica,2.16
44,Jesus,Hengelo,17.27
45,My,San Juan Bautista,52.6
46,Shandra,Timba Lauk,58.91
47,Trude,Tongyang,86.46
48,Dallas,Jati,86.63
49,Lizzy,Lupon,10.72
50,Levon,Gazli,7.04
